Temporada_Local,Jornada,Fecha,Tipo_Local,Equipo_Local,Marcador_Local,Marcador_Visitante,Equipo_Visita,Tipo_Visita
2003-2004,13,11/30/2003,Local,Sevilla,0,1,Celta de Vigo,Visitante
2003-2004,14,2/12/2003,Local,Real Sociedad,0,0,Valencia,Visitante
2003-2004,14,3/12/2003,Local,Betis,1,1,Murcia,Visitante
2003-2004,14,3/12/2003,Local,Celta de Vigo,2,2,Albacete,Visitante
2003-2004,14,3/12/2003,Local,Espanyol,0,1,Osasuna,Visitante
2003-2004,14,3/12/2003,Local,Málaga,5,1,Barcelona,Visitante
2003-2004,14,3/12/2003,Local,Real Madrid,2,0,Atlético de Madrid,Visitante
2003-2004,14,3/12/2003,Local,Valladolid,1,1,Deportivo de La Coruña,Visitante
2003-2004,14,3/12/2003,Local,Villarreal,0,2,Mallorca,Visitante
2003-2004,14,4/12/2003,Local,Racing de Santander,0,4,Sevilla,Visitante
2003-2004,14,4/12/2003,Local,Real Zaragoza,2,2,Athletic Club,Visitante
2003-2004,15,6/12/2003,Local,Barcelona,1,2,Real Madrid,Visitante
2003-2004,15,6/12/2003,Local,Deportivo de La Coruña,1,0,Málaga,Visitante
2003-2004,15,6/12/2003,Local,Osasuna,3,2,Celta de Vigo,Visitante
2003-2004,15,6/12/2003,Local,Real Sociedad,0,4,Betis,Visitante
2003-2004,15,7/12/2003,Local,Albacete,4,0,Racing de Santander,Visitante
2003-2004,15,7/12/2003,Local,Atlético de Madrid,2,0,Espanyol,Visitante
2003-2004,15,7/12/2003,Local,Mallorca,1,0,Valladolid,Visitante
2003-2004,15,7/12/2003,Local,Murcia,1,1,Villarreal,Visitante
2003-2004,15,7/12/2003,Local,Sevilla,3,2,Real Zaragoza,Visitante
2003-2004,15,7/12/2003,Local,Valencia,2,1,Athletic Club,Visitante
2003-2004,16,12/13/2003,Local,Celta de Vigo,2,2,Atlético de Madrid,Visitante
2003-2004,16,12/13/2003,Local,Espanyol,1,3,Barcelona,Visitante
2003-2004,16,12/13/2003,Local,Villarreal,2,0,Real Sociedad,Visitante
2003-2004,16,12/14/2003,Local,Athletic Club,2,1,Sevilla,Visitante
2003-2004,16,12/14/2003,Local,Betis,0,1,Valencia,Visitante
2003-2004,16,12/14/2003,Local,Málaga,3,1,Mallorca,Visitante
2003-2004,16,12/14/2003,Local,Racing de Santander,0,0,Osasuna,Visitante
2003-2004,16,12/14/2003,Local,Real Madrid,2,1,Deportivo de La Coruña,Visitante
2003-2004,16,12/14/2003,Local,Valladolid,0,0,Murcia,Visitante
2003-2004,16,12/14/2003,Local,Real Zaragoza,0,1,Albacete,Visitante
2003-2004,17,12/20/2003,Local,Atlético de Madrid,2,2,Racing de Santander,Visitante
2003-2004,17,12/20/2003,Local,Real Sociedad,1,3,Valladolid,Visitante
2003-2004,17,12/20/2003,Local,Valencia,1,0,Sevilla,Visitante
2003-2004,17,12/21/2003,Local,Albacete,1,1,Athletic Club,Visitante
2003-2004,17,12/21/2003,Local,Barcelona,1,1,Celta de Vigo,Visitante
2003-2004,17,12/21/2003,Local,Betis,1,3,Villarreal,Visitante
2003-2004,17,12/21/2003,Local,Deportivo de La Coruña,2,1,Espanyol,Visitante
2003-2004,17,12/21/2003,Local,Mallorca,1,3,Real Madrid,Visitante
2003-2004,17,12/21/2003,Local,Murcia,1,2,Málaga,Visitante
2003-2004,17,12/21/2003,Local,Osasuna,0,1,Real Zaragoza,Visitante
2003-2004,18,3/1/2004,Local,Celta de Vigo,0,5,Deportivo de La Coruña,Visitante
2003-2004,18,3/1/2004,Local,Real Madrid,1,0,Murcia,Visitante
2003-2004,18,3/1/2004,Local,Real Zaragoza,0,0,Atlético de Madrid,Visitante
2003-2004,18,4/1/2004,Local,Athletic Club,1,1,Osasuna,Visitante
2003-2004,18,4/1/2004,Local,Espanyol,2,0,Mallorca,Visitante
2003-2004,18,4/1/2004,Local,Málaga,1,2,Real Sociedad,Visitante
2003-2004,18,4/1/2004,Local,Racing de Santander,3,0,Barcelona,Visitante
2003-2004,18,4/1/2004,Local,Sevilla,2,0,Albacete,Visitante
2003-2004,18,4/1/2004,Local,Valencia,4,2,Villarreal,Visitante
2003-2004,18,4/1/2004,Local,Valladolid,0,0,Betis,Visitante
2003-2004,19,10/1/2004,Local,Albacete,0,1,Valencia,Visitante
2003-2004,19,10/1/2004,Local,Mallorca,2,4,Celta de Vigo,Visitante
2003-2004,19,10/1/2004,Local,Real Sociedad,1,0,Real Madrid,Visitante
2003-2004,19,11/1/2004,Local,Atlético de Madrid,3,0,Athletic Club,Visitante
2003-2004,19,11/1/2004,Local,Barcelona,3,0,Real Zaragoza,Visitante
2003-2004,19,11/1/2004,Local,Betis,3,0,Málaga,Visitante
2003-2004,19,11/1/2004,Local,Deportivo de La Coruña,1,1,Racing de Santander,Visitante
2003-2004,19,11/1/2004,Local,Murcia,0,1,Espanyol,Visitante
2003-2004,19,11/1/2004,Local,Osasuna,1,1,Sevilla,Visitante
2003-2004,19,11/1/2004,Local,Villarreal,3,1,Valladolid,Visitante
2003-2004,20,1/17/2004,Local,Barcelona,1,1,Athletic Club,Visitante
2003-2004,20,1/17/2004,Local,Murcia,2,2,Celta de Vigo,Visitante
2003-2004,20,1/17/2004,Local,Valladolid,0,0,Valencia,Visitante
2003-2004,20,1/18/2004,Local,Atlético de Madrid,2,1,Sevilla,Visitante
2003-2004,20,1/18/2004,Local,Betis,1,1,Real Madrid,Visitante
2003-2004,20,1/18/2004,Local,Deportivo de La Coruña,4,1,Real Zaragoza,Visitante
2003-2004,20,1/18/2004,Local,Mallorca,1,1,Racing de Santander,Visitante
2003-2004,20,1/18/2004,Local,Osasuna,1,1,Albacete,Visitante
2003-2004,20,1/18/2004,Local,Real Sociedad,3,1,Espanyol,Visitante
2003-2004,20,1/18/2004,Local,Villarreal,2,0,Málaga,Visitante
2003-2004,21,1/24/2004,Local,Albacete,1,1,Atlético de Madrid,Visitante
2003-2004,21,1/24/2004,Local,Real Madrid,2,1,Villarreal,Visitante
2003-2004,21,1/25/2004,Local,Athletic Club,1,0,Deportivo de La Coruña,Visitante
2003-2004,21,1/25/2004,Local,Celta de Vigo,2,5,Real Sociedad,Visitante
2003-2004,21,1/25/2004,Local,Espanyol,1,2,Betis,Visitante
2003-2004,21,1/25/2004,Local,Málaga,2,3,Valladolid,Visitante
2003-2004,21,1/25/2004,Local,Racing de Santander,3,2,Murcia,Visitante
2003-2004,21,1/25/2004,Local,Sevilla,0,1,Barcelona,Visitante
2003-2004,21,1/25/2004,Local,Valencia,0,1,Osasuna,Visitante
2003-2004,21,1/25/2004,Local,Real Zaragoza,1,3,Mallorca,Visitante
2003-2004,22,1/31/2004,Local,Atlético de Madrid,1,1,Osasuna,Visitante
2003-2004,22,1/31/2004,Local,Betis,1,0,Celta de Vigo,Visitante
2003-2004,22,1/31/2004,Local,Málaga,1,6,Valencia,Visitante
2003-2004,22,1/2/2004,Local,Barcelona,5,0,Albacete,Visitante
2003-2004,22,1/2/2004,Local,Deportivo de La Coruña,1,0,Sevilla,Visitante
2003-2004,22,1/2/2004,Local,Mallorca,1,3,Athletic Club,Visitante
2003-2004,22,1/2/2004,Local,Murcia,1,0,Real Zaragoza,Visitante
2003-2004,22,1/2/2004,Local,Real Sociedad,1,0,Racing de Santander,Visitante
2003-2004,22,1/2/2004,Local,Valladolid,2,3,Real Madrid,Visitante
2003-2004,22,1/2/2004,Local,Villarreal,0,1,Espanyol,Visitante
2003-2004,23,7/2/2004,Local,Real Madrid,2,1,Málaga,Visitante
2003-2004,23,7/2/2004,Local,Valencia,3,0,Atlético de Madrid,Visitante
2003-2004,23,8/2/2004,Local,Albacete,0,2,Deportivo de La Coruña,Visitante
2003-2004,23,8/2/2004,Local,Athletic Club,2,1,Murcia,Visitante
2003-2004,23,8/2/2004,Local,Celta de Vigo,2,1,Villarreal,Visitante
2003-2004,23,8/2/2004,Local,Espanyol,2,0,Valladolid,Visitante
2003-2004,23,8/2/2004,Local,Osasuna,1,2,Barcelona,Visitante
2003-2004,23,8/2/2004,Local,Racing de Santander,1,2,Betis,Visitante
2003-2004,23,8/2/2004,Local,Sevilla,3,0,Mallorca,Visitante
2003-2004,23,8/2/2004,Local,Real Zaragoza,2,1,Real Sociedad,Visitante
2003-2004,24,2/14/2004,Local,Murcia,1,3,Sevilla,Visitante
2003-2004,24,2/14/2004,Local,Real Sociedad,1,1,Athletic Club,Visitante
2003-2004,24,2/15/2004,Local,Barcelona,3,1,Atlético de Madrid,Visitante
2003-2004,24,2/15/2004,Local,Betis,2,1,Real Zaragoza,Visitante
2003-2004,24,2/15/2004,Local,Deportivo de La Coruña,2,0,Osasuna,Visitante
2003-2004,24,2/15/2004,Local,Málaga,5,2,Espanyol,Visitante
2003-2004,24,2/15/2004,Local,Mallorca,0,0,Albacete,Visitante
2003-2004,24,2/15/2004,Local,Real Madrid,1,1,Valencia,Visitante
2003-2004,24,2/15/2004,Local,Valladolid,0,2,Celta de Vigo,Visitante
2003-2004,24,2/15/2004,Local,Villarreal,6,3,Racing de Santander,Visitante
2003-2004,25,2/21/2004,Local,Atlético de Madrid,0,0,Deportivo de La Coruña,Visitante
2003-2004,25,2/21/2004,Local,Celta de Vigo,0,2,Málaga,Visitante
2003-2004,25,2/21/2004,Local,Espanyol,2,4,Real Madrid,Visitante
2003-2004,25,2/21/2004,Local,Sevilla,1,0,Real Sociedad,Visitante
2003-2004,25,2/21/2004,Local,Valencia,0,1,Barcelona,Visitante
2003-2004,25,2/22/2004,Local,Albacete,1,0,Murcia,Visitante
2003-2004,25,2/22/2004,Local,Athletic Club,1,1,Betis,Visitante
2003-2004,25,2/22/2004,Local,Osasuna,1,1,Mallorca,Visitante
2003-2004,25,2/22/2004,Local,Racing de Santander,1,0,Valladolid,Visitante
2003-2004,25,2/22/2004,Local,Real Zaragoza,4,1,Villarreal,Visitante
2003-2004,26,2/28/2004,Local,Betis,1,1,Sevilla,Visitante
2003-2004,26,2/28/2004,Local,Valladolid,1,2,Real Zaragoza,Visitante
2003-2004,26,2/29/2004,Local,Deportivo de La Coruña,2,3,Barcelona,Visitante
2003-2004,26,2/29/2004,Local,Espanyol,2,1,Valencia,Visitante
2003-2004,26,2/29/2004,Local,Málaga,1,0,Racing de Santander,Visitante
2003-2004,26,2/29/2004,Local,Mallorca,0,1,Atlético de Madrid,Visitante
2003-2004,26,2/29/2004,Local,Murcia,0,1,Osasuna,Visitante
2003-2004,26,2/29/2004,Local,Real Sociedad,0,1,Albacete,Visitante
2003-2004,26,2/29/2004,Local,Real Madrid,4,2,Celta de Vigo,Visitante
2003-2004,26,2/29/2004,Local,Villarreal,0,1,Athletic Club,Visitante
2003-2004,27,6/3/2004,Local,Celta de Vigo,1,5,Espanyol,Visitante
2003-2004,27,6/3/2004,Local,Osasuna,1,1,Real Sociedad,Visitante
2003-2004,27,6/3/2004,Local,Racing de Santander,1,1,Real Madrid,Visitante
2003-2004,27,6/3/2004,Local,Valencia,3,0,Deportivo de La Coruña,Visitante
2003-2004,27,7/3/2004,Local,Albacete,1,0,Betis,Visitante
2003-2004,27,7/3/2004,Local,Athletic Club,1,4,Valladolid,Visitante
2003-2004,27,7/3/2004,Local,Atlético de Madrid,1,1,Murcia,Visitante
2003-2004,27,7/3/2004,Local,Barcelona,3,2,Mallorca,Visitante
2003-2004,27,7/3/2004,Local,Sevilla,2,0,Villarreal,Visitante
2003-2004,27,7/3/2004,Local,Real Zaragoza,1,0,Málaga,Visitante
2003-2004,28,3/13/2004,Local,Real Sociedad,2,1,Atlético de Madrid,Visitante
2003-2004,28,3/13/2004,Local,Real Madrid,1,1,Real Zaragoza,Visitante
2003-2004,28,3/14/2004,Local,Betis,1,1,Osasuna,Visitante
2003-2004,28,3/14/2004,Local,Celta de Vigo,0,2,Valencia,Visitante
2003-2004,28,3/14/2004,Local,Espanyol,0,1,Racing de Santander,Visitante
2003-2004,28,3/14/2004,Local,Málaga,2,1,Athletic Club,Visitante
2003-2004,28,3/14/2004,Local,Mallorca,4,2,Deportivo de La Coruña,Visitante
2003-2004,28,3/14/2004,Local,Murcia,0,2,Barcelona,Visitante
2003-2004,28,3/14/2004,Local,Valladolid,2,0,Sevilla,Visitante
2003-2004,28,3/14/2004,Local,Villarreal,2,1,Albacete,Visitante
2003-2004,29,3/20/2004,Local,Athletic Club,4,2,Real Madrid,Visitante
2003-2004,29,3/20/2004,Local,Atlético de Madrid,2,1,Betis,Visitante
2003-2004,29,3/20/2004,Local,Deportivo de La Coruña,1,0,Murcia,Visitante
2003-2004,29,3/21/2004,Local,Albacete,2,0,Valladolid,Visitante
2003-2004,29,3/21/2004,Local,Barcelona,1,0,Real Sociedad,Visitante
2003-2004,29,3/21/2004,Local,Osasuna,2,1,Villarreal,Visitante
2003-2004,29,3/21/2004,Local,Racing de Santander,4,4,Celta de Vigo,Visitante
2003-2004,29,3/21/2004,Local,Sevilla,0,1,Málaga,Visitante
2003-2004,29,3/21/2004,Local,Valencia,5,1,Mallorca,Visitante
2003-2004,29,3/21/2004,Local,Real Zaragoza,1,1,Espanyol,Visitante
2003-2004,30,3/27/2004,Local,Espanyol,2,1,Athletic Club,Visitante
2003-2004,30,3/27/2004,Local,Real Sociedad,1,2,Deportivo de La Coruña,Visitante
2003-2004,30,3/28/2004,Local,Celta de Vigo,0,2,Real Zaragoza,Visitante
2003-2004,30,3/28/2004,Local,Málaga,1,1,Albacete,Visitante
2003-2004,30,3/28/2004,Local,Murcia,2,0,Mallorca,Visitante
2003-2004,30,3/28/2004,Local,Racing de Santander,0,3,Valencia,Visitante
2003-2004,30,3/28/2004,Local,Real Madrid,5,1,Sevilla,Visitante
2003-2004,30,3/28/2004,Local,Valladolid,1,1,Osasuna,Visitante
2003-2004,30,3/28/2004,Local,Villarreal,0,0,Atlético de Madrid,Visitante
2003-2004,30,4/14/2004,Local,Betis,1,1,Barcelona,Visitante
2003-2004,31,3/4/2004,Local,Albacete,1,2,Real Madrid,Visitante
2003-2004,31,3/4/2004,Local,Barcelona,0,0,Villarreal,Visitante
2003-2004,31,3/4/2004,Local,Sevilla,1,0,Espanyol,Visitante
2003-2004,31,4/4/2004,Local,Athletic Club,0,0,Celta de Vigo,Visitante
2003-2004,31,4/4/2004,Local,Atlético de Madrid,2,1,Valladolid,Visitante
2003-2004,31,4/4/2004,Local,Deportivo de La Coruña,2,2,Betis,Visitante
2003-2004,31,4/4/2004,Local,Mallorca,1,1,Real Sociedad,Visitante
2003-2004,31,4/4/2004,Local,Osasuna,1,1,Málaga,Visitante
2003-2004,31,4/4/2004,Local,Valencia,2,0,Murcia,Visitante
2003-2004,31,4/4/2004,Local,Real Zaragoza,2,2,Racing de Santander,Visitante
2003-2004,32,10/4/2004,Local,Celta de Vigo,0,0,Sevilla,Visitante
2003-2004,32,10/4/2004,Local,Málaga,3,1,Atlético de Madrid,Visitante
2003-2004,32,10/4/2004,Local,Valladolid,1,3,Barcelona,Visitante
2003-2004,32,11/4/2004,Local,Betis,0,2,Mallorca,Visitante
2003-2004,32,11/4/2004,Local,Espanyol,1,1,Albacete,Visitante
2003-2004,32,11/4/2004,Local,Racing de Santander,1,2,Athletic Club,Visitante
2003-2004,32,11/4/2004,Local,Real Sociedad,2,0,Murcia,Visitante
2003-2004,32,11/4/2004,Local,Real Madrid,0,3,Osasuna,Visitante
2003-2004,32,11/4/2004,Local,Villarreal,0,2,Deportivo de La Coruña,Visitante
2003-2004,32,11/4/2004,Local,Real Zaragoza,0,1,Valencia,Visitante
2003-2004,33,4/17/2004,Local,Athletic Club,4,0,Real Zaragoza,Visitante
2003-2004,33,4/17/2004,Local,Atlético de Madrid,1,2,Real Madrid,Visitante
2003-2004,33,4/17/2004,Local,Deportivo de La Coruña,1,1,Valladolid,Visitante
2003-2004,33,4/18/2004,Local,Albacete,0,2,Celta de Vigo,Visitante
2003-2004,33,4/18/2004,Local,Barcelona,3,0,Málaga,Visitante
2003-2004,33,4/18/2004,Local,Mallorca,1,2,Villarreal,Visitante
2003-2004,33,4/18/2004,Local,Murcia,0,1,Betis,Visitante
2003-2004,33,4/18/2004,Local,Osasuna,1,3,Espanyol,Visitante
2003-2004,33,4/18/2004,Local,Sevilla,5,2,Racing de Santander,Visitante
2003-2004,33,4/18/2004,Local,Valencia,2,2,Real Sociedad,Visitante
2003-2004,34,4/24/2004,Local,Espanyol,3,1,Atlético de Madrid,Visitante
2003-2004,34,4/24/2004,Local,Málaga,1,1,Deportivo de La Coruña,Visitante
2003-2004,34,4/25/2004,Local,Athletic Club,1,1,Valencia,Visitante
2003-2004,34,4/25/2004,Local,Betis,2,1,Real Sociedad,Visitante
2003-2004,34,4/25/2004,Local,Celta de Vigo,1,0,Osasuna,Visitante
2003-2004,34,4/25/2004,Local,Racing de Santander,0,2,Albacete,Visitante
2003-2004,34,4/25/2004,Local,Real Madrid,1,2,Barcelona,Visitante
2003-2004,34,4/25/2004,Local,Valladolid,1,3,Mallorca,Visitante
2003-2004,34,4/25/2004,Local,Villarreal,1,0,Murcia,Visitante
2003-2004,34,4/25/2004,Local,Real Zaragoza,4,4,Sevilla,Visitante
2003-2004,35,1/5/2004,Local,Atlético de Madrid,3,2,Celta de Vigo,Visitante
2003-2004,35,1/5/2004,Local,Deportivo de La Coruña,2,0,Real Madrid,Visitante
2003-2004,35,2/5/2004,Local,Albacete,3,1,Real Zaragoza,Visitante
2003-2004,35,2/5/2004,Local,Barcelona,4,1,Espanyol,Visitante
2003-2004,35,2/5/2004,Local,Mallorca,2,1,Málaga,Visitante
2003-2004,35,2/5/2004,Local,Murcia,2,1,Valladolid,Visitante
2003-2004,35,2/5/2004,Local,Osasuna,1,2,Racing de Santander,Visitante
2003-2004,35,2/5/2004,Local,Real Sociedad,2,2,Villarreal,Visitante
2003-2004,35,2/5/2004,Local,Sevilla,2,0,Athletic Club,Visitante
2003-2004,35,2/5/2004,Local,Valencia,2,0,Betis,Visitante
2003-2004,36,8/5/2004,Local,Celta de Vigo,1,0,Barcelona,Visitante
2003-2004,36,8/5/2004,Local,Real Madrid,2,3,Mallorca,Visitante
2003-2004,36,9/5/2004,Local,Athletic Club,1,1,Albacete,Visitante
2003-2004,36,9/5/2004,Local,Espanyol,2,0,Deportivo de La Coruña,Visitante
2003-2004,36,9/5/2004,Local,Málaga,1,0,Murcia,Visitante
2003-2004,36,9/5/2004,Local,Racing de Santander,2,2,Atlético de Madrid,Visitante
2003-2004,36,9/5/2004,Local,Sevilla,0,2,Valencia,Visitante
2003-2004,36,9/5/2004,Local,Valladolid,2,2,Real Sociedad,Visitante
2003-2004,36,9/5/2004,Local,Villarreal,1,0,Betis,Visitante
2003-2004,36,9/5/2004,Local,Real Zaragoza,1,0,Osasuna,Visitante
2003-2004,37,5/14/2004,Local,Villarreal,2,1,Valencia,Visitante
2003-2004,37,5/15/2004,Local,Betis,1,0,Valladolid,Visitante
2003-2004,37,5/15/2004,Local,Deportivo de La Coruña,3,0,Celta de Vigo,Visitante
2003-2004,37,5/16/2004,Local,Albacete,1,4,Sevilla,Visitante
2003-2004,37,5/16/2004,Local,Atlético de Madrid,1,2,Real Zaragoza,Visitante
2003-2004,37,5/16/2004,Local,Barcelona,1,0,Racing de Santander,Visitante
2003-2004,37,5/16/2004,Local,Mallorca,4,2,Espanyol,Visitante
2003-2004,37,5/16/2004,Local,Murcia,2,1,Real Madrid,Visitante
2003-2004,37,5/16/2004,Local,Osasuna,1,2,Athletic Club,Visitante
2003-2004,37,5/16/2004,Local,Real Sociedad,1,1,Málaga,Visitante
2003-2004,38,5/23/2004,Local,Athletic Club,3,4,Atlético de Madrid,Visitante
2003-2004,38,5/23/2004,Local,Celta de Vigo,1,2,Mallorca,Visitante
2003-2004,38,5/23/2004,Local,Espanyol,2,0,Murcia,Visitante
2003-2004,38,5/23/2004,Local,Málaga,2,3,Betis,Visitante
2003-2004,38,5/23/2004,Local,Racing de Santander,0,1,Deportivo de La Coruña,Visitante
2003-2004,38,5/23/2004,Local,Real Madrid,1,4,Real Sociedad,Visitante
2003-2004,38,5/23/2004,Local,Sevilla,1,0,Osasuna,Visitante
2003-2004,38,5/23/2004,Local,Valencia,0,1,Albacete,Visitante
2003-2004,38,5/23/2004,Local,Valladolid,3,0,Villarreal,Visitante
2003-2004,38,5/23/2004,Local,Real Zaragoza,2,1,Barcelona,Visitante
2004-2005,1,8/28/2004,Local,Atlético de Madrid,2,0,Málaga,Visitante
2004-2005,1,8/28/2004,Local,Espanyol,1,1,Deportivo de La Coruña,Visitante
2004-2005,1,8/28/2004,Local,Numancia,1,1,Betis,Visitante
2004-2005,1,8/29/2004,Local,Mallorca,0,1,Real Madrid,Visitante
2004-2005,1,8/29/2004,Local,Osasuna,1,1,Athletic Club,Visitante
2004-2005,1,8/29/2004,Local,Racing de Santander,0,2,Barcelona,Visitante
2004-2005,1,8/29/2004,Local,Real Sociedad,1,1,Levante,Visitante
2004-2005,1,8/29/2004,Local,Sevilla,1,0,Albacete,Visitante
2004-2005,1,8/29/2004,Local,Real Zaragoza,3,1,Getafe,Visitante
2004-2005,1,8/30/2004,Local,Valencia,2,1,Villarreal,Visitante
2004-2005,2,11/9/2004,Local,Athletic Club,2,2,Valencia,Visitante
2004-2005,2,11/9/2004,Local,Barcelona,2,0,Sevilla,Visitante
2004-2005,2,11/9/2004,Local,Real Madrid,1,0,Numancia,Visitante
2004-2005,2,12/9/2004,Local,Albacete,0,2,Atlético de Madrid,Visitante
2004-2005,2,12/9/2004,Local,Betis,1,4,Espanyol,Visitante
2004-2005,2,12/9/2004,Local,Deportivo de La Coruña,1,3,Osasuna,Visitante
2004-2005,2,12/9/2004,Local,Getafe,1,2,Mallorca,Visitante
2004-2005,2,12/9/2004,Local,Levante,3,1,Racing de Santander,Visitante
2004-2005,2,12/9/2004,Local,Málaga,0,0,Real Zaragoza,Visitante
2004-2005,2,12/9/2004,Local,Villarreal,0,0,Real Sociedad,Visitante
2004-2005,3,9/18/2004,Local,Espanyol,1,0,Real Madrid,Visitante
2004-2005,3,9/18/2004,Local,Osasuna,3,2,Betis,Visitante
2004-2005,3,9/18/2004,Local,Valencia,3,1,Real Sociedad,Visitante
2004-2005,3,9/19/2004,Local,Athletic Club,1,2,Deportivo de La Coruña,Visitante
2004-2005,3,9/19/2004,Local,Atlético de Madrid,1,1,Barcelona,Visitante
2004-2005,3,9/19/2004,Local,Mallorca,1,2,Málaga,Visitante
2004-2005,3,9/19/2004,Local,Numancia,1,0,Getafe,Visitante
2004-2005,3,9/19/2004,Local,Racing de Santander,1,1,Villarreal,Visitante
2004-2005,3,9/19/2004,Local,Sevilla,3,0,Levante,Visitante
2004-2005,3,9/19/2004,Local,Real Zaragoza,4,3,Albacete,Visitante
2004-2005,4,9/21/2004,Local,Real Madrid,1,0,Osasuna,Visitante
2004-2005,4,9/22/2004,Local,Albacete,0,0,Mallorca,Visitante
2004-2005,4,9/22/2004,Local,Betis,2,1,Athletic Club,Visitante
2004-2005,4,9/22/2004,Local,Deportivo de La Coruña,1,5,Valencia,Visitante
2004-2005,4,9/22/2004,Local,Getafe,1,0,Espanyol,Visitante
2004-2005,4,9/22/2004,Local,Levante,1,0,Atlético de Madrid,Visitante
2004-2005,4,9/22/2004,Local,Málaga,4,1,Numancia,Visitante
2004-2005,4,9/22/2004,Local,Real Sociedad,0,1,Racing de Santander,Visitante
2004-2005,4,9/22/2004,Local,Villarreal,0,0,Sevilla,Visitante
2004-2005,4,9/23/2004,Local,Barcelona,4,1,Real Zaragoza,Visitante
2004-2005,5,9/25/2004,Local,Athletic Club,2,1,Real Madrid,Visitante
2004-2005,5,9/25/2004,Local,Atlético de Madrid,1,0,Villarreal,Visitante
2004-2005,5,9/25/2004,Local,Deportivo de La Coruña,1,1,Betis,Visitante
2004-2005,5,9/26/2004,Local,Espanyol,1,0,Málaga,Visitante
2004-2005,5,9/26/2004,Local,Mallorca,1,3,Barcelona,Visitante
2004-2005,5,9/26/2004,Local,Numancia,0,0,Albacete,Visitante
2004-2005,5,9/26/2004,Local,Osasuna,2,1,Getafe,Visitante
2004-2005,5,9/26/2004,Local,Sevilla,2,1,Real Sociedad,Visitante
2004-2005,5,9/26/2004,Local,Valencia,2,0,Racing de Santander,Visitante
2004-2005,5,9/26/2004,Local,Real Zaragoza,4,3,Levante,Visitante
2004-2005,6,2/10/2004,Local,Betis,1,1,Valencia,Visitante
2004-2005,6,2/10/2004,Local,Real Sociedad,1,0,Atlético de Madrid,Visitante
2004-2005,6,3/10/2004,Local,Albacete,1,0,Espanyol,Visitante
2004-2005,6,3/10/2004,Local,Barcelona,1,0,Numancia,Visitante
2004-2005,6,3/10/2004,Local,Getafe,3,1,Athletic Club,Visitante
2004-2005,6,3/10/2004,Local,Levante,2,0,Mallorca,Visitante
2004-2005,6,3/10/2004,Local,Málaga,2,0,Osasuna,Visitante
2004-2005,6,3/10/2004,Local,Racing de Santander,0,0,Sevilla,Visitante
2004-2005,6,3/10/2004,Local,Real Madrid,0,1,Deportivo de La Coruña,Visitante
2004-2005,6,3/10/2004,Local,Villarreal,2,0,Real Zaragoza,Visitante
2004-2005,7,10/16/2004,Local,Betis,1,1,Real Madrid,Visitante
2004-2005,7,10/16/2004,Local,Deportivo de La Coruña,2,1,Getafe,Visitante
2004-2005,7,10/16/2004,Local,Espanyol,0,1,Barcelona,Visitante
2004-2005,7,10/17/2004,Local,Athletic Club,1,0,Málaga,Visitante
2004-2005,7,10/17/2004,Local,Atlético de Madrid,1,0,Racing de Santander,Visitante
2004-2005,7,10/17/2004,Local,Mallorca,1,1,Villarreal,Visitante
2004-2005,7,10/17/2004,Local,Numancia,1,3,Levante,Visitante
2004-2005,7,10/17/2004,Local,Osasuna,3,2,Albacete,Visitante
2004-2005,7,10/17/2004,Local,Valencia,1,2,Sevilla,Visitante
2004-2005,7,10/17/2004,Local,Real Zaragoza,2,1,Real Sociedad,Visitante
2004-2005,8,10/23/2004,Local,Málaga,1,1,Deportivo de La Coruña,Visitante
2004-2005,8,10/23/2004,Local,Real Madrid,1,0,Valencia,Visitante
2004-2005,8,10/24/2004,Local,Albacete,1,0,Athletic Club,Visitante
2004-2005,8,10/24/2004,Local,Barcelona,3,0,Osasuna,Visitante
2004-2005,8,10/24/2004,Local,Getafe,0,2,Betis,Visitante
2004-2005,8,10/24/2004,Local,Levante,0,2,Espanyol,Visitante
2004-2005,8,10/24/2004,Local,Racing de Santander,1,0,Real Zaragoza,Visitante
2004-2005,8,10/24/2004,Local,Real Sociedad,2,1,Mallorca,Visitante
2004-2005,8,10/24/2004,Local,Sevilla,2,1,Atlético de Madrid,Visitante
2004-2005,8,10/24/2004,Local,Villarreal,4,0,Numancia,Visitante
2004-2005,9,10/30/2004,Local,Athletic Club,1,1,Barcelona,Visitante
2004-2005,9,10/30/2004,Local,Valencia,1,1,Atlético de Madrid,Visitante
2004-2005,9,10/31/2004,Local,Betis,1,1,Málaga,Visitante
2004-2005,9,10/31/2004,Local,Deportivo de La Coruña,0,0,Albacete,Visitante
2004-2005,9,10/31/2004,Local,Espanyol,0,0,Villarreal,Visitante
2004-2005,9,10/31/2004,Local,Mallorca,1,2,Racing de Santander,Visitante
2004-2005,9,10/31/2004,Local,Numancia,0,2,Real Sociedad,Visitante
2004-2005,9,10/31/2004,Local,Osasuna,0,1,Levante,Visitante
2004-2005,9,10/31/2004,Local,Real Madrid,2,0,Getafe,Visitante
2004-2005,9,10/31/2004,Local,Real Zaragoza,3,0,Sevilla,Visitante
2004-2005,10,6/11/2004,Local,Albacete,0,0,Betis,Visitante
2004-2005,10,6/11/2004,Local,Barcelona,2,1,Deportivo de La Coruña,Visitante
2004-2005,10,7/11/2004,Local,Atlético de Madrid,1,1,Real Zaragoza,Visitante
